City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,New Norfolk,AU,2022-03-07 03:29:16,-42.7826,147.0587,69.66,27,33,2.53
89,Port Alfred,ZA,2022-03-07 03:29:17,-33.5906,26.891,75.69,67,99,7.81
90,Fairbanks,US,2022-03-07 03:25:32,64.8378,-147.7164,26.56,64,100,6.91
91,Tiksi,RU,2022-03-07 03:29:17,71.6872,128.8694,-19.3,99,79,2.13
92,Adre,TD,2022-03-07 03:29:18,13.4667,22.2,75.7,13,96,11.7
93,Atambua,ID,2022-03-07 03:29:18,-9.1061,124.8925,83.8,64,97,2.37
94,Sao Filipe,CV,2022-03-07 03:29:19,14.8961,-24.4956,70.02,71,89,10.87
95,Kodiak,US,2022-03-07 03:29:19,57.79,-152.4072,38.71,70,0,12.66
96,Hobart,AU,2022-03-07 03:29:06,-42.8794,147.3294,70.02,44,40,10.36
97,Beringovskiy,RU,2022-03-07 03:29:20,63.05,179.3167,31.78,97,100,20.69
98,Zhigansk,RU,2022-03-07 03:29:21,66.7697,123.3711,8.94,87,99,5.46
99,Kibala,TD,2022-03-07 03:29:21,9.1104,18.3463,83.79,16,92,1.25
100,Axim,GH,2022-03-07 03:29:22,4.8699,-2.2405,78.46,91,22,2.28
101,Hervey Bay,AU,2022-03-07 03:29:23,-25.2986,152.8535,84.31,79,96,17.05
102,Norman Wells,CA,2022-03-07 03:29:24,65.282,-126.8329,24.84,74,100,19.57
103,Mgachi,RU,2022-03-07 03:29:24,51.05,142.2667,19.08,91,100,4.85
104,Syracuse,IT,2022-03-07 03:27:02,37.0881,15.2792,46.89,78,8,9.82
105,Okha,RU,2022-03-07 03:29:25,53.5739,142.9478,18.25,87,100,6.82
106,Shimoda,JP,2022-03-07 03:29:25,34.6667,138.95,53.1,54,100,8.99
107,Guerrero Negro,MX,2022-03-07 03:29:26,27.9769,-114.0611,58.05,65,37,19.19
108,Ponta Do Sol,PT,2022-03-07 03:29:26,32.6667,-17.1,59.63,64,59,1.59
109,Gatesville,US,2022-03-07 03:29:27,31.4352,-97.7439,71.89,82,1,11.05
110,San Cristobal,VE,2022-03-07 03:29:27,7.7669,-72.225,68.18,85,95,3.27
111,Dimona,IL,2022-03-07 03:29:28,31.0667,35.0333,50.85,89,42,16.58
112,Saskylakh,RU,2022-03-07 03:29:28,71.9167,114.0833,-7.33,97,100,2.37
113,Odoyev,RU,2022-03-07 03:29:29,53.9393,36.6864,20.34,97,100,5.12
114,Meulaboh,ID,2022-03-07 03:29:29,4.1363,96.1285,82.49,69,30,1.45
115,Jaffna,LK,2022-03-07 03:29:30,9.6685,80.0074,79.09,82,34,14.14
116,Abong Mbang,CM,2022-03-07 03:29:30,3.9833,13.1833,66.02,98,100,3.24
117,Huangnihe,CN,2022-03-07 03:29:31,43.5583,128.0239,25.45,61,100,2.46
118,Orange Cove,US,2022-03-07 03:29:31,36.6244,-119.3137,55.06,67,20,4.12
119,Kurilsk,RU,2022-03-07 03:25:42,45.2333,147.8833,28.56,79,100,26.13
120,Ahipara,NZ,2022-03-07 03:29:32,-35.1667,173.1667,74.95,61,100,7.14
121,General Roca,AR,2022-03-07 03:29:33,-39.0333,-67.5833,63.63,39,88,17.74
122,Carndonagh,IE,2022-03-07 03:29:33,55.25,-7.2667,31.82,93,24,5.73
123,Manzil Salim,TN,2022-03-07 03:26:21,35.8567,8.4765,41.0,77,74,1.16
124,Winnemucca,US,2022-03-07 03:29:34,40.973,-117.7357,34.11,69,100,8.05
125,Saint-Augustin,CA,2022-03-07 03:29:35,51.226,-58.6502,5.2,95,100,3.44
126,Eenhana,NA,2022-03-07 03:29:35,-17.4667,16.3333,62.35,86,40,1.54
127,Sendafa,ET,2022-03-07 03:29:36,9.15,39.0333,51.03,49,59,2.04
128,Port Hardy,CA,2022-03-07 03:29:36,50.6996,-127.4199,45.75,87,75,2.3
129,Daru,PG,2022-03-07 03:29:37,-9.0763,143.2092,79.97,80,100,6.29
130,Bambous Virieux,MU,2022-03-07 03:29:37,-20.3428,57.7575,81.21,83,75,12.66
131,Manikganj,BD,2022-03-07 03:29:38,23.8553,90.0125,73.38,30,0,7.27
132,Qaanaaq,GL,2022-03-07 03:29:38,77.484,-69.3632,2.39,62,6,6.91
133,Plettenberg Bay,ZA,2022-03-07 03:29:39,-34.0527,23.3716,68.16,85,100,10.31
134,Brae,GB,2022-03-07 03:29:39,60.3964,-1.353,42.71,73,100,19.35
135,Kahului,US,2022-03-07 03:29:40,20.8947,-156.47,82.42,54,20,8.05
136,San Quintin,MX,2022-03-07 03:29:40,30.4833,-115.95,55.62,65,49,17.43
137,Parakou,BJ,2022-03-07 03:29:41,9.3372,2.6303,79.56,72,96,5.95
138,Verkhniy Baskunchak,RU,2022-03-07 03:29:41,48.2256,46.7217,24.84,81,11,10.16
139,Bethel,US,2022-03-07 03:29:42,41.3712,-73.414,66.31,75,0,16.11
140,Tazovskiy,RU,2022-03-07 03:29:42,67.4667,78.7,-38.25,99,57,4.43
141,Ulaangom,MN,2022-03-07 03:29:43,49.9811,92.0667,8.65,89,100,2.15
142,Bubaque,GW,2022-03-07 03:29:44,11.2833,-15.8333,76.24,61,8,13.13
143,Aloleng,PH,2022-03-07 03:29:44,16.1307,119.7824,82.51,69,52,8.41
144,Taltal,CL,2022-03-07 03:29:45,-25.4,-70.4833,68.61,80,5,1.63
145,Kodinar,IN,2022-03-07 03:29:46,20.7903,70.7031,76.98,37,1,9.84
146,Alugan,PH,2022-03-07 03:29:46,12.2188,125.4808,79.23,88,100,7.07
147,Ekuvukeni,ZA,2022-03-07 03:29:47,-28.4675,30.1551,60.4,96,4,3.27
148,Bilibino,RU,2022-03-07 03:29:47,68.0546,166.4372,6.51,80,100,3.96
149,Sawtell,AU,2022-03-07 03:29:48,-30.3833,153.1,77.32,88,75,10.36
150,Dudinka,RU,2022-03-07 03:29:48,69.4058,86.1778,-33.93,100,46,4.68
151,Santa Isabel Do Rio Negro,BR,2022-03-07 03:29:49,-0.4139,-65.0192,74.57,89,100,0.58
152,Ust-Nera,RU,2022-03-07 03:29:49,64.5667,143.2,-4.9,91,97,1.1
153,Ola,RU,2022-03-07 03:29:50,59.5833,151.2833,16.14,66,72,7.67
154,Sisimiut,GL,2022-03-07 03:29:50,66.9395,-53.6735,9.28,94,100,10.6
155,Umm Kaddadah,SD,2022-03-07 03:29:51,13.6017,26.6876,73.08,12,24,12.77
156,Petropavlovsk-Kamchatskiy,RU,2022-03-07 03:29:51,53.0452,158.6483,30.79,64,75,2.24
157,Mutis,CO,2022-03-07 03:29:52,6.2262,-77.4044,75.33,87,18,3.47
158,Palo Alto,US,2022-03-07 03:29:52,37.4419,-122.143,53.06,72,0,11.5
159,Halifax,CA,2022-03-07 03:26:08,44.6453,-63.5724,48.42,98,100,16.11
160,Mlawa,PL,2022-03-07 03:25:22,53.1128,20.3841,28.29,86,65,7.29
161,East London,ZA,2022-03-07 03:29:53,-33.0153,27.9116,70.74,88,20,3.44
162,Souillac,MU,2022-03-07 03:29:53,-20.5167,57.5167,81.36,83,75,12.66
163,Matay,EG,2022-03-07 03:29:54,28.419,30.7792,56.73,88,29,9.28
164,Hithadhoo,MV,2022-03-07 03:29:54,-0.6,73.0833,82.15,68,11,6.73
165,Mayahi,NE,2022-03-07 03:29:55,13.9553,7.6712,76.53,12,41,4.21
166,Lamu,KE,2022-03-07 03:29:56,-2.2717,40.902,79.02,84,6,9.24
