City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Halifax,CA,44.6453,-63.5724,39.42,95,100,8.05,light rain
121,Barabai,ID,-2.5833,115.3833,85.14,66,87,3.58,overcast clouds
122,Winburg,ZA,-28.518,27.0093,59.72,82,94,10.45,overcast clouds
123,Hobart,AU,-42.8794,147.3294,64.02,50,40,17.27,scattered clouds
124,Puerto Leguizamo,CO,-0.1934,-74.7819,78.06,77,97,2.98,overcast clouds
125,Wau,SS,7.7029,27.9953,80.82,32,100,3.78,overcast clouds
126,Sioux Falls,US,43.55,-96.7003,24.66,77,0,5.75,clear sky
127,Chumphon,TH,10.3333,98.8333,80.71,77,100,6.51,moderate rain
128,Belmonte,BR,-15.8631,-38.8828,77.5,80,0,5.57,clear sky
129,Tasiilaq,GL,65.6145,-37.6368,17.76,68,19,9.53,few clouds
130,Henties Bay,NA,-22.116,14.2845,60.85,90,5,5.17,clear sky
131,Bilma,NE,18.6853,12.9164,82.31,11,94,8.48,overcast clouds
132,Klaksvik,FO,62.2266,-6.589,43.72,81,100,25.3,overcast clouds
133,Saldanha,ZA,-33.0117,17.9442,60.85,91,0,12.01,clear sky
134,Challapata,BO,-18.9,-66.7667,52.59,69,98,2.51,overcast clouds
135,Mallur,IN,11.55,78.1333,77.43,69,81,3.27,broken clouds
136,Marystown,CA,47.1666,-55.1483,33.85,100,100,1.01,overcast clouds
137,Atuona,PF,-9.8,-139.0333,78.91,79,20,14.38,few clouds
138,Bilibino,RU,68.0546,166.4372,8.51,90,24,0.96,few clouds
139,Vostok,RU,46.4856,135.8833,24.57,80,99,4.0,overcast clouds
140,Fortuna,US,40.5982,-124.1573,51.1,86,0,10.36,clear sky
141,Ayan,RU,56.45,138.1667,11.86,82,97,3.89,overcast clouds
142,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,74,81,11.01,broken clouds
143,Zhezkazgan,KZ,47.8043,67.7144,17.58,79,75,6.71,broken clouds
144,Verkhnevilyuysk,RU,63.4453,120.3167,2.34,91,89,3.38,overcast clouds
145,Kyren,RU,51.6828,102.1408,32.99,82,100,1.16,overcast clouds
146,San Quintin,MX,30.4833,-115.95,56.84,75,0,9.48,clear sky
147,Marataizes,BR,-21.0433,-40.8244,74.93,85,2,8.37,clear sky
148,Asfi,MA,32.2994,-9.2372,53.89,71,17,7.07,few clouds
149,Zarnovica,SK,48.4812,18.7157,31.89,89,6,4.25,clear sky
150,Lowestoft,GB,52.4752,1.7516,40.15,69,0,21.03,clear sky
151,Hasaki,JP,35.7333,140.8333,45.28,85,100,13.85,light rain
152,Bereda,ES,43.2686,-7.5406,44.35,98,100,8.12,overcast clouds
153,Bethel,US,41.3712,-73.414,61.75,78,100,5.99,overcast clouds
154,Chernyshevskiy,RU,63.0128,112.4714,-5.35,96,100,3.44,overcast clouds
155,Usinsk,RU,65.9939,57.5281,-27.53,100,93,6.6,overcast clouds
156,Chokurdakh,RU,70.6333,147.9167,-14.42,97,83,4.05,broken clouds
157,Fillan,NO,63.6064,8.9696,42.39,80,100,17.72,overcast clouds
158,Chuy,UY,-33.6971,-53.4616,64.49,79,97,5.84,overcast clouds
159,Maragogi,BR,-9.0122,-35.2225,77.56,77,26,4.16,scattered clouds
160,Bengkulu,ID,-3.8004,102.2655,83.28,65,97,1.9,overcast clouds
161,Norman Wells,CA,65.282,-126.8329,12.24,79,100,10.36,light snow
162,Caibarien,CU,22.5206,-79.4669,76.32,82,0,15.61,clear sky
163,Saint Anthony,US,45.0205,-93.218,24.73,76,0,8.05,clear sky
164,Tilichiki,RU,60.4667,166.1,16.7,85,100,9.51,overcast clouds
165,Hualmay,PE,-11.0964,-77.6139,73.87,75,95,3.74,overcast clouds
166,Qui Nhon,VN,13.7667,109.2333,76.51,75,49,18.48,scattered clouds
167,Belaya Gora,RU,68.5333,146.4167,-16.94,90,34,2.82,scattered clouds
168,Qaanaaq,GL,77.484,-69.3632,-2.69,68,93,3.09,overcast clouds
169,Port Hedland,AU,-20.3167,118.5667,102.25,30,3,14.97,clear sky
170,Merauke,ID,-8.4667,140.3333,85.26,70,88,6.42,overcast clouds
171,Jalu,LY,29.0331,21.5482,64.85,38,100,8.39,overcast clouds
172,Malindi,KE,-3.2175,40.1191,75.92,84,58,4.68,broken clouds
173,Faanui,PF,-16.4833,-151.75,81.64,73,98,12.8,overcast clouds
174,Concepcion,CL,-36.827,-73.0498,57.0,88,0,6.91,clear sky
175,Oyama,JP,36.3,139.8,46.58,69,100,5.01,overcast clouds
176,Natchitoches,US,31.7668,-93.1335,49.05,71,75,6.91,broken clouds
177,Akdepe,TM,42.0551,59.3788,28.49,60,4,10.36,clear sky
178,Kenai,US,60.5544,-151.2583,34.03,58,0,17.27,clear sky
179,Hami,CN,42.8,93.45,47.95,31,77,11.52,broken clouds
180,Progreso,MX,21.2833,-89.6667,84.31,84,2,12.82,clear sky
181,Beni Suef,EG,29.0731,31.0979,58.78,61,97,6.82,overcast clouds
182,Derbent,RU,42.0678,48.2899,40.17,77,71,9.8,broken clouds
183,Victoria,HK,22.2855,114.1577,69.04,46,12,10.0,few clouds
184,Tarko-Sale,RU,64.9225,77.785,-13.36,93,100,17.6,overcast clouds
185,Tautira,PF,-17.7333,-149.15,86.02,74,7,12.41,clear sky
186,Port Elizabeth,ZA,-33.918,25.5701,72.1,100,75,6.91,broken clouds
187,Cabo Rojo,PR,18.0866,-67.1457,75.97,87,0,1.01,clear sky
188,Coahuayana,MX,18.7333,-103.6833,69.67,88,0,2.33,clear sky
189,Kindu,CD,-2.95,25.95,66.74,98,51,2.08,broken clouds
190,Lebedinyy,RU,58.5167,125.5167,8.6,66,71,3.38,broken clouds
191,Cervo,ES,43.6702,-7.4101,45.19,84,100,20.11,moderate rain
192,Malgrat De Mar,ES,41.6466,2.7414,51.98,59,8,4.0,clear sky
193,Salvador,SV,13.8333,-88.9167,76.05,71,34,1.95,scattered clouds
194,Gijon,ES,43.5357,-5.6615,49.8,89,100,1.99,light rain
195,Carutapera,BR,-1.195,-46.02,74.44,96,100,6.35,overcast clouds
196,Alofi,NU,-19.0595,-169.9187,85.89,74,40,6.91,scattered clouds
197,Nizhniy Tsasuchey,RU,50.5167,115.1333,39.11,51,41,6.33,scattered clouds
198,Lucea,JM,18.451,-78.1736,76.86,76,5,1.66,clear sky
199,Twentynine Palms,US,34.1356,-116.0542,55.98,15,0,3.0,clear sky
200,Lompoc,US,34.6391,-120.4579,55.71,77,0,11.99,clear sky
201,Kalmunai,LK,7.4167,81.8167,81.73,73,82,11.23,broken clouds
202,Izhma,RU,65.0083,53.9113,-20.33,99,54,3.02,broken clouds
203,Elko,US,41.0002,-115.5012,28.22,72,80,11.01,broken clouds
204,Mitu,CO,1.1983,-70.1733,74.1,80,94,2.77,overcast clouds
205,Beloha,MG,-25.1667,45.05,69.93,97,15,5.53,few clouds
206,Riyadh,SA,24.6877,46.7219,66.34,23,76,8.16,broken clouds
207,Iqaluit,CA,63.7506,-68.5145,-2.47,71,100,2.3,light snow
208,Tianpeng,CN,30.9866,103.9393,66.67,57,0,6.11,clear sky
209,Hit,IQ,33.6416,42.8251,53.49,60,59,8.28,broken clouds
210,Uchiza,PE,-8.4592,-76.4633,69.64,95,100,2.17,overcast clouds
211,Harper,LR,4.375,-7.7169,79.47,88,42,4.32,scattered clouds
212,Sitka,US,57.0531,-135.33,42.69,39,0,4.61,clear sky
213,Hofn,IS,64.2539,-15.2082,36.63,96,100,7.05,moderate rain
214,Ancud,CL,-41.8697,-73.8203,56.73,80,93,14.83,overcast clouds
215,Giyani,ZA,-23.3025,30.7187,67.96,73,1,4.0,clear sky
216,Rawson,AR,-43.3002,-65.1023,60.73,71,70,7.05,broken clouds
217,Geraldton,AU,-28.7667,114.6,95.41,21,65,20.71,broken clouds
218,Patharia,IN,23.9,79.2,74.91,22,55,4.16,broken clouds
219,Yulara,AU,-25.2406,130.9889,84.04,23,0,14.97,clear sky
220,Mandera,KE,3.9366,41.867,75.6,68,65,9.71,broken clouds
221,Otradnoye,RU,59.7775,30.8181,10.45,100,97,1.95,overcast clouds
222,Aklavik,CA,68.2191,-135.0107,5.83,98,100,5.39,overcast clouds
223,Antalaha,MG,-14.9003,50.2788,75.33,94,100,9.13,moderate rain
224,Pisco,PE,-13.7,-76.2167,73.45,78,20,2.3,few clouds
225,Havoysund,NO,70.9963,24.6622,32.88,66,98,19.3,light snow
226,Olinda,BR,-8.0089,-34.8553,80.33,78,40,5.75,scattered clouds
227,Turan,VN,16.0678,108.2208,80.58,57,20,9.22,few clouds
228,Kerema,PG,-7.9631,145.7785,85.3,70,79,8.55,broken clouds
229,Paamiut,GL,61.994,-49.6678,6.4,74,70,12.91,broken clouds
230,Lavrentiya,RU,65.5833,-171.0,23.41,77,100,6.22,overcast clouds
231,Ararat,AM,39.8317,44.7049,30.54,52,98,1.99,overcast clouds
232,Itacare,BR,-14.2775,-38.9967,75.54,86,13,5.01,few clouds
233,Honningsvag,NO,70.9821,25.9704,36.52,66,91,19.42,light rain
234,Hauterive,FR,46.0901,3.4459,32.76,75,0,3.76,clear sky
235,Axim,GH,4.8699,-2.2405,78.6,89,90,4.65,overcast clouds
236,Sinazongwe,ZM,-17.2614,27.4618,72.19,83,17,2.75,light rain
237,Asosa,ET,10.0667,34.5333,72.63,30,77,1.88,broken clouds
238,Yepifan,RU,53.8253,38.5518,19.2,98,100,4.61,overcast clouds
239,Hirado,JP,33.3597,129.5531,52.95,48,0,3.83,clear sky
240,Rivne,UA,50.6231,26.2274,31.84,92,89,10.33,overcast clouds
241,North Bend,US,43.4065,-124.2243,45.91,93,0,9.22,clear sky
242,Eyl,SO,7.9803,49.8164,72.32,77,10,8.68,clear sky
243,Constitucion,CL,-35.3333,-72.4167,55.74,86,0,10.4,clear sky
244,Mizdah,LY,31.4451,12.9801,50.18,87,98,10.33,overcast clouds
245,Upernavik,GL,72.7868,-56.1549,2.08,95,100,5.41,overcast clouds
246,Road Town,VG,18.4167,-64.6167,75.99,73,0,21.5,clear sky
247,Provideniya,RU,64.3833,-173.3,21.24,92,96,10.76,overcast clouds
248,Eston,CA,51.1501,-108.7514,22.89,89,100,22.7,light snow
249,Ostrovnoy,RU,68.0531,39.5131,1.26,92,100,15.48,overcast clouds
250,Port Shepstone,ZA,-30.7414,30.455,72.16,86,99,5.61,moderate rain
251,Tommot,RU,58.9564,126.2925,14.97,78,26,1.97,scattered clouds
252,Shibetsu,JP,43.659,145.132,34.5,55,75,5.75,broken clouds
253,Vaitape,PF,-16.5167,-151.75,81.64,73,98,12.84,overcast clouds
254,Mareeba,AU,-17.0,145.4333,95.43,54,63,4.65,broken clouds
255,Demyansk,RU,57.643,32.466,2.98,98,75,3.6,broken clouds
256,Alenquer,BR,-1.9417,-54.7383,80.94,95,100,2.68,overcast clouds
257,Alta Floresta,BR,-9.8756,-56.0861,70.61,99,100,2.82,overcast clouds
258,Nabire,ID,-3.3667,135.4833,81.01,75,100,0.09,overcast clouds
259,Namibe,AO,-15.1961,12.1522,71.94,68,78,4.99,broken clouds
260,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,75,20,6.71,few clouds
261,Santa Maria,BR,-29.6842,-53.8069,69.1,94,40,10.36,scattered clouds
262,Koungou,YT,-12.7336,45.2042,82.11,78,0,9.22,clear sky
263,Richards Bay,ZA,-28.783,32.0377,69.73,91,3,3.91,clear sky
264,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,63,0,8.05,clear sky
265,Trnava,SK,48.3774,17.5872,31.78,82,4,7.11,clear sky
266,Shache,CN,38.4167,77.2406,49.37,22,7,3.62,clear sky
